Rank,Name,Country,bagels,recv bagels,Total Matches,Years,send/recv,Bagel%
288,Maret Ani ,EST,54,23,600,15,2.35,9.0%
289,Justine Ozga ,GER,54,23,552,13,2.35,9.8%
290,Elna Reinach ,RSA,54,26,445,13,2.08,12.1%
291,Anca Barna ,GER,54,30,637,16,1.80,8.5%
292,Elena Tatarkova ,UKR,54,30,537,14,1.80,10.1%
293,Cara Black ,ZIM,54,38,557,24,1.42,9.7%
294,Yuliana Fedak ,UKR,54,39,579,15,1.38,9.3%
295,Natalia Orlova ,RUS,54,39,484,11,1.38,11.2%
296,Margalita Chakhnashvili-Ranzinger ,GEO,54,43,730,19,1.26,7.4%
297,Milagros Sequera ,VEN,54,43,526,15,1.26,10.3%
298,Marina Shamayko ,RUS,54,45,608,13,1.20,8.9%
299,Anastasia Rodionova ,AUS,54,51,876,19,1.06,6.2%
300,Adriana Serra Zanetti ,ITA,54,55,639,18,0.98,8.5%
301,Bettina Bunge ,GER,53,14,461,13,3.79,11.5%
302,Mona Barthel ,GER,53,15,461,9,3.53,11.5%
303,Tara Snyder ,USA,53,19,537,13,2.79,9.9%
304,Michelle Gerards ,NED,53,19,369,11,2.79,14.4%
305,Constance Sibille ,FRA,53,21,401,10,2.52,13.2%
306,Julia Mayr ,ITA,53,22,274,8,2.41,19.3%
307,Melanie Oudin ,USA,53,24,410,10,2.21,12.9%
308,Diana Ospina ,USA,53,25,446,17,2.12,11.9%
309,Milana Spremo ,SRB,53,25,328,10,2.12,16.2%
310,Varatchaya Wongteanchai ,THA,53,26,449,10,2.04,11.8%
311,Kanae Hisami ,JPN,53,27,386,13,1.96,13.7%
312,Olivia Rogowska ,AUS,53,28,480,11,1.89,11.0%
313,Mar\xeda S\xe1nchez Lorenzo ,ESP,53,31,593,15,1.71,8.9%
314,Francesca Lubiani ,ITA,53,35,605,15,1.51,8.8%
315,Frederica Piedade ,POR,53,37,549,13,1.43,9.7%
316,Sandra Kloesel ,GER,53,38,649,17,1.39,8.2%
317,Aiko Nakamura ,JPN,53,41,505,13,1.29,10.5%
318,Maria Sakkari ,GRE,52,12,287,6,4.33,18.1%
319,Alisa Kleybanova ,RUS,52,13,423,13,4.00,12.3%
320,Ayu Fani Damayanti ,INA,52,18,302,12,2.89,17.2%
321,Wynne Prakusya ,INA,52,21,394,14,2.48,13.2%
322,Tiantian Sun ,CHN,52,22,374,11,2.36,13.9%
323,Karolina Wlodarczak ,AUS,52,25,301,13,2.08,17.3%
324,Natalia Egorova ,RUS,52,26,402,17,2.00,12.9%
325,Natalia Gussoni ,ARG,52,26,389,12,2.00,13.4%
326,St\xe9phanie Cohen-Aloro ,FRA,52,27,548,13,1.93,9.5%
327,Libuse Prusova ,CZE,52,28,529,15,1.86,9.8%
328,Maria Vanina Garcia Sokol ,ARG,52,32,328,10,1.63,15.9%
329,Kathrin Woerle-Scheller ,GER,52,35,732,17,1.49,7.1%
330,Dominique Monami ,BEL,52,36,480,12,1.44,10.8%
331,Raluca Olaru ,ROU,52,37,445,13,1.41,11.7%
332,Carla Su\xe1rez Navarro ,ESP,52,41,652,13,1.27,8.0%
333,Rosa Maria Andres Rodriguez ,ESP,52,41,455,13,1.27,11.4%
334,Antonella Serra Zanetti ,ITA,52,46,588,14,1.13,8.8%
335,Alexandra Nancarrow ,AUS,51,13,226,7,3.92,22.6%
336,Tatiana Bua ,ARG,51,20,435,10,2.55,11.7%
337,Bibiane Weijers ,NED,51,20,336,13,2.55,15.2%
338,Anna-Lena Groenefeld ,GER,51,23,493,15,2.22,10.3%
339,Tsvetana Pironkova ,BUL,51,24,636,14,2.13,8.0%
340,Mervana Jugic-Salkic ,BIH,51,26,662,17,1.96,7.7%
341,Olga Vymetalkova ,CZE,51,30,562,17,1.70,9.1%
342,Ksenia Ulukan ,KGZ,51,30,495,12,1.70,10.3%
343,Kristina Kucova ,SVK,51,35,498,11,1.46,10.2%
344,Iveta Gerlova ,CZE,51,35,452,12,1.46,11.3%
345,Henrieta Nagyova ,SVK,51,36,607,14,1.42,8.4%
346,Seiko Okamoto ,JPN,51,37,529,15,1.38,9.6%
347,Denisa Chladkova ,CZE,51,38,552,13,1.34,9.2%
348,Oana-Elena Golimbioschi ,ROU,51,39,512,12,1.31,10.0%
349,Zsofia Gubacsi ,HUN,51,39,483,12,1.31,10.6%
350,Mercedes Paz ,ARG,51,40,560,15,1.28,9.1%
351,Tadeja Majeric ,SLO,51,43,466,11,1.19,10.9%
352,Valeriya Strakhova ,UKR,50,9,192,5,5.56,26.0%
353,Evie Dominikovic ,AUS,50,18,503,13,2.78,9.9%
354,Kyung-Mi Chang ,KOR,50,21,390,17,2.38,12.8%
355,Aleksandra Wozniak ,CAN,50,23,526,15,2.17,9.5%
356,Soledad Esperon ,ARG,50,23,379,10,2.17,13.2%
357,Silvija Talaja ,CRO,50,24,578,17,2.08,8.7%
358,Tereza Mrdeza ,CRO,50,24,392,10,2.08,12.8%
359,Yanina Wickmayer ,BEL,50,26,563,12,1.92,8.9%
360,Federica Di Sarra ,ITA,50,26,335,12,1.92,14.9%
361,Yevgenia Savranska ,UKR,50,27,452,10,1.85,11.1%
362,Melanie South ,GBR,50,28,562,13,1.79,8.9%
363,Julia Schruff ,GER,50,29,638,15,1.72,7.8%
364,Anais Laurendon ,FRA,50,29,407,11,1.72,12.3%
365,Stanislava Hrozenska ,SVK,50,30,445,14,1.67,11.2%
366,Magdalena Rybarikova ,SVK,50,31,583,12,1.61,8.6%
367,Alexandra Mueller ,USA,50,31,410,14,1.61,12.2%
368,Andreea Ehritt-Vanc ,ROU,50,32,542,18,1.56,9.2%
369,Anne Harris ,AUS,50,33,509,15,1.52,9.8%
370,Mara Santangelo ,ITA,50,35,528,15,1.43,9.5%
371,Paula Garcia ,ESP,50,45,504,13,1.11,9.9%
372,Remi Tezuka ,JPN,50,64,542,16,0.78,9.2%
